anexo,respondio,opcion,timestamp
1001,si,cancela,2026-07-02 00:00:16
1001,si,reagenda,2026-07-02 00:04:47
1001,si,reagenda,2026-07-02 00:13:57
1000,si,confirma,2026-07-02 00:31:44
1000,si,cancela,2026-07-02 00:32:53
1000,si,reagenda,2026-07-02 00:40:37
1000,si,confirma,2026-07-02 00:46:41
1001,no,,2026-07-04 14:43:36
1000,no,,2026-07-04 17:21:41
1000,si,confirma,2026-07-04 21:54:27
1001,si,reagenda,2026-07-04 23:13:03
1000,si,cancela,2026-07-05 10:59:20
1000,si,reagenda,2026-07-05 10:59:55
1000,si,cancela,2026-07-05 12:05:08
1000,si,reagenda,2026-07-05 12:11:27
